FluorCam10 Numeric Export File
-----------------------------------
 	A01	B01	D01	E01	A02	B02	C02	D02	E02	A03	B03	D03	E03	A04	B04	C04	D04	E04	A05	B05	C05	D05	E05	A06	B06	C06	D06	E06	A07	B07	C07	D07	E07	A08	B08	D08	A09	B09	C09	D09	E09	A10	B10	C10	D10	E10	A11	B11	C11	D11	E11	A12	B12	C12	D12	E12
Y_NPQ_L4	0.01	0.01	0	0	0.01	0.27	0	0	0	0.01	0	0	0.01	0.01	0	0	0.01	0	0.01	0	0.01	0.01	0	0	0.01	0	0.01	0.07	0.01	0.01	0.01	0	0.01	0.01	0	0.01	0.01	0.01	0	0.01	0	0.02	0	0.01	0	0	0	0	0	0.01	0	0.01	0	0	0.01	0
Y_NO_L1	0.18	0.2	0.2	0.22	0.18	0.17	0.19	0.19	0.19	0.21	0.22	0.19	0.2	0.2	0.21	0.19	0.19	0.21	0.22	0.21	0.22	0.2	0.22	0.2	0.2	0.2	0.19	0.23	0.21	0.21	0.19	0.21	0.21	0.2	0.22	0.2	0.21	0.19	0.18	0.22	0.19	0.21	0.19	0.19	0.21	0.23	0.21	0.2	0.2	0.21	0.21	0.2	0.19	0.19	0.2	0.22
Y_NO_L2	0.18	0.2	0.2	0.21	0.18	0.09	0.18	0.19	0.18	0.2	0.21	0.19	0.2	0.2	0.22	0.19	0.19	0.22	0.21	0.21	0.21	0.19	0.21	0.2	0.2	0.22	0.19	0.16	0.21	0.2	0.19	0.22	0.21	0.19	0.22	0.2	0.21	0.19	0.19	0.24	0.2	0.19	0.19	0.19	0.2	0.23	0.21	0.19	0.19	0.22	0.21	0.2	0.19	0.18	0.2	0.22
Y_NO_L3	0.19	0.18	0.2	0.21	0.18	0.1	0.19	0.19	0.19	0.21	0.21	0.2	0.2	0.2	0.22	0.19	0.2	0.22	0.21	0.21	0.21	0.19	0.22	0.2	0.2	0.2	0.19	0.17	0.2	0.19	0.19	0.21	0.21	0.19	0.22	0.2	0.21	0.2	0.19	0.23	0.2	0.19	0.19	0.18	0.21	0.24	0.21	0.18	0.2	0.22	0.2	0.2	0.19	0.19	0.19	0.21
Y_NO_L4	0.19	0.19	0.2	0.21	0.18	0.09	0.18	0.2	0.19	0.21	0.21	0.19	0.21	0.21	0.23	0.19	0.2	0.22	0.22	0.21	0.21	0.19	0.22	0.2	0.2	0.2	0.19	0.17	0.21	0.19	0.19	0.21	0.22	0.2	0.22	0.2	0.2	0.2	0.19	0.23	0.19	0.19	0.19	0.19	0.2	0.23	0.21	0.2	0.2	0.21	0.2	0.21	0.2	0.18	0.19	0.22
qN_L1	0.02	0.04	-0.02	0	0.04	0.23	0.01	0.02	0	0.02	-0.03	-0.01	0.01	0.04	0	0.02	0.01	-0.03	0.01	0	0.01	0.03	0.01	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.01	0.02	0.01	0.01	0.01	0.01	0	0.02	0.02	0.01	0.07	0.01	0.02	0.01	-0.02	0.01	0.01	0.01	0	0.01	0.01	0.02	0.02	0.04	0
qN_L2	0.03	0.04	-0.02	0.01	0.06	0.66	0.01	0.02	0.01	0.03	-0.02	-0.01	0.02	0.05	-0.01	0.02	0.03	-0.02	0.02	0.01	0.01	0.05	0.01	0.03	0.03	0.01	0.04	0.34	0.02	0.02	0.03	0.03	0.02	0.03	0.01	0.03	0.02	0.01	0.02	0.04	0.03	0.1	0.01	0.02	0.02	-0.02	0.01	0.02	0.02	0	0	0.02	0.01	0.01	0.06	0.01
qN_L3	0.03	0.03	-0.02	0.01	0.06	0.66	0.01	0.03	0.01	0.04	-0.01	0	0.02	0.04	-0.02	0.02	0.03	-0.03	0.02	0	0.01	0.05	0	0.04	0.04	0	0.04	0.33	0.02	0.03	0.02	0.03	0.03	0.03	0.03	0.03	0.02	0.03	0.02	0.05	0.02	0.11	0.01	0.02	0.02	-0.01	0.01	0.01	0.02	0.01	0.01	0.03	0.03	0.01	0.06	0.01
qN_L4	0.03	0.04	-0.01	0.01	0.06	0.66	0.01	0.02	-0.01	0.04	-0.01	0.01	0.03	0.04	-0.02	0.02	0.04	-0.02	0.03	0.01	0.03	0.06	0.02	0.03	0.04	0.01	0.04	0.33	0.04	0.04	0.03	0.02	0.03	0.03	0.02	0.05	0.03	0.03	0.03	0.05	0.02	0.12	0.02	0.03	0.02	-0.01	0.02	0.02	0.02	0.03	0.02	0.03	0.03	0.02	0.06	0.01
qP_L1	1	1	0.99	0.99	1	1.11	0.99	1	0.99	0.99	0.98	1	1	1	1	0.99	1	1	0.99	1	0.99	1	0.99	0.99	1	0.99	0.99	0.98	0.99	0.98	1	1	0.99	1	0.99	1	0.99	1.01	1.01	1.01	1.01	0.99	1	1	0.99	0.99	0.99	0.99	1	0.99	0.99	1	1	0.99	1	0.99
